	area	direction	floor	floorplan	high/low	name	price	url
255	80	南 北	（6层）	3室1厅1卫	地下室	大兴-观音寺-辛店小区	3000	bj.lianjia.com/zufang/BJ2210736912468287488.html
257	48	南	（12层）	1房间1卫	高楼层	朝阳-管庄-朗廷	4400	bj.lianjia.com/zufang/BJ2298470533442322432.html
189	49	东 西	（5层）	2室1厅1卫	高楼层	东城-广渠门-光明西里	5200	bj.lianjia.com/zufang/BJ2297939161698533376.html
183	50	东	（5层）	2室0厅1卫	中楼层	东城-广渠门-光明西里	5200	bj.lianjia.com/zufang/BJ2276030942642708480.html
190	49	南	（6层）	2室1厅1卫	高楼层	朝阳-广渠门-广和里	5300	bj.lianjia.com/zufang/BJ2288409673114075136.html
125	56	南 北	（6层）	2室1厅1卫	高楼层	朝阳-劲松-广和东里	5500	bj.lianjia.com/zufang/BJ2329673037425164288.html
143	60	南 北	（6层）	2室1厅1卫	中楼层	朝阳-劲松-广和里七巷	5500	bj.lianjia.com/zufang/BJ2318583972789501952.html
121	73	东	（12层）	2室1厅1卫	高楼层	朝阳-劲松-农光里	5500	bj.lianjia.com/zufang/BJ2335338243673309184.html
181	55	南 北	（6层）	2室1厅1卫	高楼层	东城-广渠门-安化北里	5600	bj.lianjia.com/zufang/BJ2312232914429157376.html
178	58	南 北	（6层）	2室1厅1卫	高楼层	东城-广渠门-幸福北里	5600	bj.lianjia.com/zufang/BJ2285464326494232576.html
128	63	西	（18层）	2室1厅1卫	高楼层	朝阳-劲松-劲松南路	5700	bj.lianjia.com/zufang/BJ2311429865427451904.html
180	51	东南	（6层）	2室1厅1卫	中楼层	东城-广渠门-夕照寺西里	5800	bj.lianjia.com/zufang/BJ2229785454587691008.html
185	52	东 西	（4层）	2室0厅1卫	高楼层	东城-广渠门-幸福北里	5800	bj.lianjia.com/zufang/BJ2326777983798616064.html
131	54	南 北	（6层）	2室1厅1卫	中楼层	朝阳-劲松-农光里	5800	bj.lianjia.com/zufang/BJ2325808436874584064.html
123	63	东北	（16层）	2室1厅1卫	中楼层	朝阳-劲松-劲松八区	5800	bj.lianjia.com/zufang/BJ2325887639435354112.html
146	48	南	（5层）	2室1厅1卫	中楼层	朝阳-劲松-武圣西里	6000	bj.lianjia.com/zufang/BJ2323159189293375488.html
187	52	南 北	（5层）	2室1厅1卫	高楼层	东城-广渠门-板厂南里	6000	bj.lianjia.com/zufang/BJ2271098693283487744.html
139	57	南 北	（4层）	2室1厅1卫	高楼层	朝阳-劲松-农光南路	6000	bj.lianjia.com/zufang/BJ2318091903846842368.html
124	59	南	（6层）	2室1厅1卫	高楼层	朝阳-劲松-劲松八区	6000	bj.lianjia.com/zufang/BJ2324560357773295616.html
127	60	南 北	（6层）	2室1厅1卫	中楼层	朝阳-劲松-劲松三区	6000	bj.lianjia.com/zufang/BJ2329015504045883392.html
186	62	东 西	（6层）	2室1厅1卫	高楼层	东城-广渠门-南水关	6000	bj.lianjia.com/zufang/BJ2329556826581893120.html
120	64	东南	（18层）	2室1厅1卫	中楼层	朝阳-劲松-农光南路	6000	bj.lianjia.com/zufang/BJ2333820485571723264.html
100	70	西南	（18层）	2室1厅1卫	低楼层	朝阳-潘家园-华威西里	6000	bj.lianjia.com/zufang/BJ2302734214811877376.html
134	87	东 南 北	（6层）	2室1厅1卫	低楼层	朝阳-劲松-广和里七巷	6000	bj.lianjia.com/zufang/BJ2309453713209049088.html
262	58	南	（6层）	2室0厅1卫	高楼层	东城-崇文门-南岗子	6100	bj.lianjia.com/zufang/BJ2334511629754179584.html
130	65	南 北	（5层）	2室1厅1卫	中楼层	朝阳-劲松-农光里	6150	bj.lianjia.com/zufang/BJ2314543283940106240.html
122	47	南	（16层）	2室1厅1卫	中楼层	朝阳-劲松-劲松九区	6200	bj.lianjia.com/zufang/BJ2335456497225433088.html
135	64	西	（18层）	2室1厅1卫	中楼层	朝阳-劲松-劲松南路	6200	bj.lianjia.com/zufang/BJ2329436721470775296.html
91	66	东南	（18层）	2室1厅1卫	中楼层	朝阳-潘家园-潘家园东里	6200	bj.lianjia.com/zufang/BJ2299935580861513728.html
99	74	东南	（16层）	2室1厅1卫	中楼层	朝阳-潘家园-弘善家园	6200	bj.lianjia.com/zufang/BJ2299097001675472896.html
94	75	东南	（19层）	2室1厅1卫	中楼层	朝阳-潘家园-松榆里	6200	bj.lianjia.com/zufang/BJ2317893280719192064.html
132	51	南	（12层）	2室0厅1卫	中楼层	朝阳-劲松-劲松四区	6300	bj.lianjia.com/zufang/BJ2310833442671034368.html
182	51	西	（29层）	2室1厅1卫	高楼层	东城-广渠门-广渠家园	6300	bj.lianjia.com/zufang/BJ2313809007187599360.html
126	58	南 北	（6层）	2室2厅1卫	低楼层	朝阳-劲松-广渠门外大街6号院	6300	bj.lianjia.com/zufang/BJ2298431711383388160.html
261	58	南	（6层）	2室1厅1卫	中楼层	东城-崇文门-南岗子	6300	bj.lianjia.com/zufang/BJ2333984485567643648.html
129	59	东	（6层）	2室1厅1卫	高楼层	朝阳-劲松-劲松八区	6300	bj.lianjia.com/zufang/BJ2325859021396901888.html
98	60	东南	（28层）	2室1厅1卫	低楼层	朝阳-潘家园-弘善家园	6300	bj.lianjia.com/zufang/BJ2327422741210472448.html
102	60	南 北	（6层）	2室1厅1卫	中楼层	朝阳-潘家园-松榆西里	6300	bj.lianjia.com/zufang/BJ2310882364235972608.html
259	68	南	（15层）	1室1厅1卫	高楼层	朝阳-常营-柏林爱乐四期	6300	bj.lianjia.com/zufang/BJ2324478189034020864.html
92	80	东南	（27层）	2室1厅1卫	高楼层	朝阳-潘家园-弘善家园	6350	bj.lianjia.com/zufang/BJ2324463934045683712.html
103	60	南 北	（6层）	2室1厅1卫	低楼层	朝阳-潘家园-潘家园小区	6400	bj.lianjia.com/zufang/BJ2300673423786901504.html
184	61	南	（22层）	2室1厅1卫	低楼层	东城-广渠门-东环居苑	6400	bj.lianjia.com/zufang/BJ2295470199001841664.html
93	64	东 南	（22层）	2室1厅1卫	高楼层	朝阳-潘家园-华威西里	6400	bj.lianjia.com/zufang/BJ2313480235007885312.html
1	50	南 北	（5层）	2室1厅1卫	中楼层	朝阳-建国门外-灵通观	6500	bj.lianjia.com/zufang/BJ2304118863774105600.html
31	50	南 北	（5层）	2室1厅1卫	中楼层	朝阳-建国门外-灵通观	6500	bj.lianjia.com/zufang/BJ2304118863774105600.html
374	50	南 北	（5层）	2室1厅1卫	中楼层	朝阳-建国门外-灵通观	6500	bj.lianjia.com/zufang/BJ2304118863774105600.html
0	51	东	（5层）	2室1厅1卫	地下室	朝阳-朝阳门外-东大桥路	6500	bj.lianjia.com/zufang/BJ2334531638908174336.html
30	51	东	（5层）	2室1厅1卫	地下室	朝阳-朝阳门外-东大桥路	6500	bj.lianjia.com/zufang/BJ2334531638908174336.html
140	55	南 北	（6层）	2室1厅1卫	高楼层	朝阳-劲松-劲松五区	6500	bj.lianjia.com/zufang/BJ2318591728552525824.html
141	55	南	（6层）	2室1厅1卫	高楼层	朝阳-劲松-垂杨柳南里	6500	bj.lianjia.com/zufang/BJ2331901691869265920.html
97	57	南	（20层）	2室1厅1卫	低楼层	朝阳-潘家园-松榆西里	6500	bj.lianjia.com/zufang/BJ2330918100343996416.html
188	57	南	（6层）	2室1厅1卫	高楼层	东城-广渠门-安化北里	6500	bj.lianjia.com/zufang/BJ2278860585930334208.html
147	58	南 北	（6层）	2室1厅1卫	低楼层	朝阳-劲松-武圣西里	6500	bj.lianjia.com/zufang/BJ2330204894239670272.html
375	58	南 西	（7层）	2室1厅1卫	高楼层	东城-建国门外-抽屉胡同	6500	bj.lianjia.com/zufang/BJ2301354349546176512.html
136	60	南 北	（12层）	2室1厅1卫	高楼层	朝阳-劲松-劲松二区	6500	bj.lianjia.com/zufang/BJ2331022171209465856.html
137	60	南	（16层）	2室1厅1卫	高楼层	朝阳-劲松-农光南里	6500	bj.lianjia.com/zufang/BJ2330869464151113728.html
179	60	北	（13层）	2室1厅1卫	低楼层	东城-广渠门-远洋德邑	6500	bj.lianjia.com/zufang/BJ2321511625183731712.html
264	60	南 北	（14层）	2室1厅1卫	高楼层	东城-崇文门-崇文门东大街	6500	bj.lianjia.com/zufang/BJ2306487206375587840.html
351	60	东 西	（6层）	2室1厅1卫	中楼层	东城-建国门内-小羊宜宾胡同	6500	bj.lianjia.com/zufang/BJ2331081912241618944.html
90	62	西南	（16层）	2室1厅1卫	高楼层	朝阳-潘家园-华威西里	6500	bj.lianjia.com/zufang/BJ2326628753960075264.html
95	62	东南	（18层）	2室1厅1卫	低楼层	朝阳-潘家园-潘家园东里	6500	bj.lianjia.com/zufang/BJ2315039095610408960.html
138	62	南 北	（6层）	2室1厅1卫	高楼层	朝阳-劲松-劲松八区	6500	bj.lianjia.com/zufang/BJ2306378277054316544.html
96	64	西	（6层）	2室1厅1卫	高楼层	朝阳-潘家园-松榆里	6500	bj.lianjia.com/zufang/BJ2308726590353178624.html
133	65	西南	（18层）	2室1厅1卫	中楼层	朝阳-劲松-农光东里	6500	bj.lianjia.com/zufang/BJ2331852114013462528.html
101	80	东南	（18层）	2室1厅1卫	高楼层	朝阳-潘家园-嘉禾园	6500	bj.lianjia.com/zufang/BJ2306540947045097472.html
105	83	东北	（28层）	2室1厅1卫	中楼层	朝阳-潘家园-弘善家园	6500	bj.lianjia.com/zufang/BJ2334697364256210944.html
258	89	东南 北	（18层）	2室2厅1卫	高楼层	丰台-草桥-南珠苑	6500	bj.lianjia.com/zufang/BJ2309448546036236288.html
119	54	东 南	（6层）	2室1厅1卫	高楼层	朝阳-潘家园-华威西里	6600	bj.lianjia.com/zufang/BJ2141915601789263872.html
194	71	东	（29层）	2室2厅1卫	中楼层	东城-广渠门-广渠家园	6700	bj.lianjia.com/zufang/BJ2328710210606071808.html
151	54	南 北	（5层）	2室1厅1卫	中楼层	朝阳-工体-幸福二村	6800	bj.lianjia.com/zufang/BJ2320776989432356864.html
193	56	南 北	（12层）	2室1厅1卫	中楼层	东城-广渠门-绿景苑	6800	bj.lianjia.com/zufang/BJ2321699715601154048.html
267	58	南 北	（6层）	2室1厅1卫	低楼层	东城-崇文门-南岗子	6800	bj.lianjia.com/zufang/BJ2261684236606521344.html
145	61	南	（6层）	2室1厅1卫	低楼层	朝阳-劲松-武圣东里	6800	bj.lianjia.com/zufang/BJ2334732336782123008.html
148	61	南 北	（6层）	2室1厅1卫	高楼层	朝阳-劲松-广和东里	6800	bj.lianjia.com/zufang/BJ2331644140221104128.html
144	70	南 北	（4层）	2室1厅1卫	中楼层	朝阳-劲松-农光南路	6800	bj.lianjia.com/zufang/BJ2334538016833404928.html
195	71	西	（29层）	2室2厅1卫	低楼层	东城-广渠门-广渠家园	6800	bj.lianjia.com/zufang/BJ2298324253290283008.html
198	71	东	（29层）	2室2厅1卫	高楼层	东城-广渠门-广渠家园	6800	bj.lianjia.com/zufang/BJ2325930458304749568.html
